Study ID;Age in Months (at Test);Gender;Condition;Trial Type;Score
1;38;M;relational;Different;0
2;44;M;relational;Different;0
3;45;M;relational;Different;0
4;42;F;relational;Different;0
5;44;F;relational;Different;0
6;42;F;relational;Different;0
7;41;F;relational;Different;0
8;45;F;relational;Different;0
9;36;M;relational;Different;0
10;44;F;relational;Different;0
11;42;M;relational;Different;0
12;43;M;relational;Different;0
13;44;F;relational;Different;0
14;47;F;relational;Different;1
15;45;M;relational;Different;1
16;43;F;relational;Different;1
17;39;M;relational;Different;1
18;36;F;relational;Different;1
19;37;F;relational;Different;1
20;45;M;relational;Different;1
21;40;F;relational;Different;1
22;46;F;relational;Different;1
23;45;M;relational;Different;1
24;47;F;relational;Different;1
25;46;F;relational;Different;1
26;37;F;relational;Different;1
27;44;F;relational;Different;1
28;41;M;relational;Different;1
29;39;M;relational;Different;1
30;40;M;relational;Different;1
31;43;F;relational;Different;1
32;44;F;relational;Different;1
33;42;M;relational;Different;1
34;44;M;relational;Different;1
35;43;F;relational;Different;1
36;39;M;relational;Different;1
37;38;M;relational;Different;1
38;45;M;relational;Different;1
39;41;M;relational;Same;0
40;45;M;relational;Same;0
41;42;M;relational;Same;0
42;44;F;relational;Same;0
43;41;M;relational;Same;0
44;36;F;relational;Same;0
45;46;F;relational;Same;0
46;38;M;relational;Same;0
47;40;F;relational;Same;0
48;37;M;relational;Same;0
49;37;F;relational;Same;0
50;37;F;relational;Same;0
51;42;M;relational;Same;0
52;36;F;relational;Same;1
53;44;F;relational;Same;1
54;42;M;relational;Same;1
55;43;M;relational;Same;1
56;47;M;relational;Same;1
57;39;F;relational;Same;1
58;43;F;relational;Same;1
59;42;M;relational;Same;1
60;35;F;relational;Same;1
61;39;M;relational;Same;1
62;45;M;relational;Same;1
63;41;F;relational;Same;1
64;36;F;relational;Same;1
65;44;F;relational;Same;1
66;42;M;relational;Same;1
67;47;M;relational;Same;1
68;40;M;relational;Same;1
69;38;F;relational;Same;1
70;47;F;relational;Same;1
71;42;F;relational;Same;1
72;41;M;relational;Same;1
73;43;M;relational;Same;1
74;40;M;relational;Same;1
75;37;F;relational;Same;1
76;37;F;relational;Same;1
77;41;F;standard;Same;0
78;41;F;standard;Same;0
79;43;M;standard;Same;1
80;44;F;standard;Same;1
81;41;F;standard;Same;0
82;37;F;standard;Same;1
83;36;M;standard;Same;0
84;39;F;standard;Same;0
85;42;F;standard;Same;1
86;47;F;standard;Same;0
87;45;F;standard;Same;1
88;47;M;standard;Same;1
89;45;F;standard;Same;1
90;43;F;standard;Same;0
91;43;F;standard;Same;1
92;45;F;standard;Same;1
93;47;M;standard;Same;1
94;37;M;standard;Same;1
95;45;F;standard;Same;1
96;38;F;standard;Same;0
97;45;M;standard;Same;0
98;39;F;standard;Same;1
99;44;F;standard;Same;1
100;37;M;standard;Same;1
101;47;F;standard;Same;0
102;44;F;standard;Same;0
103;42;M;standard;Same;1
104;42;M;standard;Same;0
105;38;M;standard;Same;0
106;44;F;standard;Same;1
107;37;F;standard;Same;1
108;37;F;standard;Same;0
109;36;M;standard;Same;1
110;39;M;standard;Same;0
111;40;F;standard;Same;0
112;40;F;standard;Same;0
113;37;F;standard;Same;0
114;45;M;standard;Same;1
115;46;M;standard;Different;0
116;36;M;standard;Different;0
117;42;M;standard;Different;1
118;44;F;standard;Different;1
119;44;M;standard;Different;1
120;40;M;standard;Different;0
121;45;M;standard;Different;1
122;47;M;standard;Different;0
123;44;M;standard;Different;0
124;44;M;standard;Different;1
125;44;M;standard;Different;0
126;46;M;standard;Different;1
127;45;M;standard;Different;0
128;41;F;standard;Different;1
129;44;F;standard;Different;1
130;36;F;standard;Different;0
131;37;M;standard;Different;1
132;43;F;standard;Different;0
133;40;M;standard;Different;1
134;36;M;standard;Different;0
135;39;M;standard;Different;0
136;39;M;standard;Different;0
137;45;F;standard;Different;0
138;40;M;standard;Different;1
139;43;M;standard;Different;0
140;39;M;standard;Different;0
141;47;M;standard;Different;0
142;41;M;standard;Different;1
143;45;M;standard;Different;1
144;43;F;standard;Different;1
145;45;F;standard;Different;0
146;46;F;standard;Different;0
147;47;M;standard;Different;0
148;36;F;standard;Different;0
149;45;M;standard;Different;0
150;41;M;standard;Different;0
151;39;F;standard;Different;1
152;40;M;standard;Different;0
